"Australia",13.8
"Canada",19.5
"Czech Republic",15.4
"Hungary",11.3
"Japan",26.5
"Korea",36.3
"New Zealand",6.2
"Norway",6.4
"Slovak Republic",16
"United Kingdom",17.8
"United States",19.1
"Greece",6.9
"France",13.7
"Italy",11.1
"Portugal",16.3
"Switzerland",16.5
"Germany",13.8
"Austria",18.2
"Belgium",6.4
"Sweden",15.1
"Spain",8.6
"Mexico",13.6
"Denmark",7
"Finland",18.7
"Poland",10.6
"Ireland",8.3
